subj,site,condition,MeanV
1,fz,no_ant,2.390975
2,fz,no_ant,0.288488
3,fz,no_ant,1.66049
4,fz,no_ant,-2.874776
5,fz,no_ant,0.006272
6,fz,no_ant,2.229382
7,fz,no_ant,-0.8231
8,fz,no_ant,3.203994
9,fz,no_ant,0.336292
10,fz,no_ant,2.393939
11,fz,no_ant,-3.431281
12,fz,no_ant,3.281416
13,fz,no_ant,1.758329
14,fz,no_ant,-0.987799
15,fz,no_ant,-1.690173
16,fz,no_ant,2.191991
17,fz,no_ant,-0.577886
18,fz,no_ant,0.015272
19,fz,no_ant,1.089114
20,fz,no_ant,0.479964
1,cpz,no_ant,0.501225
2,cpz,no_ant,3.024967
3,cpz,no_ant,2.564943
4,cpz,no_ant,-0.628479
5,cpz,no_ant,1.704426
6,cpz,no_ant,2.538901
7,cpz,no_ant,-1.901154
8,cpz,no_ant,3.867015
9,cpz,no_ant,1.769373
10,cpz,no_ant,6.223497
11,cpz,no_ant,-0.36343
12,cpz,no_ant,3.673952
13,cpz,no_ant,-2.24808
14,cpz,no_ant,-0.474608
15,cpz,no_ant,-0.35966
16,cpz,no_ant,6.654055
17,cpz,no_ant,0.32461
18,cpz,no_ant,1.068357
19,cpz,no_ant,4.027001
20,cpz,no_ant,1.222715
1,poz,no_ant,1.914985
2,poz,no_ant,4.439031
3,poz,no_ant,3.202041
4,poz,no_ant,1.84074
5,poz,no_ant,1.829192
6,poz,no_ant,2.800247
7,poz,no_ant,-0.42202
8,poz,no_ant,3.03456
9,poz,no_ant,2.626898
10,poz,no_ant,5.930383
11,poz,no_ant,2.450589
12,poz,no_ant,2.911966
13,poz,no_ant,-0.77046
14,poz,no_ant,1.626243
15,poz,no_ant,1.779504
16,poz,no_ant,8.620719
17,poz,no_ant,1.191233
18,poz,no_ant,2.437016
19,poz,no_ant,5.873791
20,poz,no_ant,0.26537
1,fz,ant,1.699278
2,fz,ant,-2.300599
3,fz,ant,0.763048
4,fz,ant,-0.170007
5,fz,ant,1.40797
6,fz,ant,-0.932108
7,fz,ant,4.509799
8,fz,ant,-0.154405
9,fz,ant,-0.520414
10,fz,ant,-1.253606
11,fz,ant,-2.196264
12,fz,ant,1.623092
13,fz,ant,2.129508
14,fz,ant,-1.655939
15,fz,ant,-3.942715
16,fz,ant,0.784114
17,fz,ant,0.78521
18,fz,ant,-0.606323
19,fz,ant,3.366864
20,fz,ant,-4.145534
1,cpz,ant,1.39475
2,cpz,ant,0.931943
3,cpz,ant,-0.285791
4,cpz,ant,-0.029832
5,cpz,ant,1.933827
6,cpz,ant,4.42452
7,cpz,ant,2.279063
8,cpz,ant,0.322481
9,cpz,ant,1.224882
10,cpz,ant,-1.756158
11,cpz,ant,-1.263563
12,cpz,ant,0.600295
13,cpz,ant,0.313174
14,cpz,ant,-1.484148
15,cpz,ant,-4.346887
16,cpz,ant,1.93229
17,cpz,ant,3.001045
18,cpz,ant,0.978711
19,cpz,ant,3.987842
20,cpz,ant,-0.349483
1,poz,ant,-2.22408
2,poz,ant,1.214358
3,poz,ant,0.554858
4,poz,ant,1.196101
5,poz,ant,1.521826
6,poz,ant,4.106972
7,poz,ant,1.95966
8,poz,ant,-0.53581
9,poz,ant,1.374249
10,poz,ant,-1.78861
11,poz,ant,-0.245657
12,poz,ant,-0.348329
13,poz,ant,-0.907774
14,poz,ant,-0.67881
15,poz,ant,-0.453878
16,poz,ant,2.42474
17,poz,ant,3.83319
18,poz,ant,1.902507
19,poz,ant,3.143644
20,poz,ant,-2.2986
